23:46:01.740 INFO  Express: / 
23:46:03.442 INFO  Express: /rsvp.html 
23:46:08.327 INFO  Express: /get_invite_info?input=john 
23:46:08.331 INFO  Search: john 
23:46:09.420 INFO  Express: /get_invite_info?input=john 
23:46:09.420 INFO  Search: john 
23:46:18.929 INFO  Express: /update_rsvp 
23:46:18.973 INFO  Update rsvp: {"56":{"attending_reception":true,"attending_ceremony":false},"57":{"attending_reception":false,"attending_ceremony":false}} 
23:46:18.977 INFO  Making query: update Invitation set attending_reception=true,attending_ceremony=false where guest_id=56 
23:46:18.977 INFO  Making query: update Invitation set attending_reception=false,attending_ceremony=false where guest_id=57 
23:46:27.315 INFO  Express: /rsvp.html 
23:46:31.288 INFO  Express: /get_invite_info?input=john 
23:46:31.288 INFO  Search: john 
23:46:32.542 INFO  Express: /get_invite_info?input=john 
23:46:32.542 INFO  Search: john 
23:48:35.495 INFO  Express: /rsvp.html 
23:48:40.107 INFO  Express: /get_invite_info?input=john 
23:48:40.111 INFO  Search: john 
